,titleID,Authors,Journal,publisher,year,cited_num,cites_per_year,date,cited_num_mod,cites_per_year_mod
11,The PMESC programming library for distributed-memory MIMD computers,"S Crivelli, Elizabeth R.  Jessup",Journal of Parallel and Distributed Computing,Academic Press,1999,13,0.5958809493909331,1999-06-01,14,0.6417179454979279
12,Assessment of chemical‐crosslink‐assisted protein structure modeling in CASP13,"J Eduardo Fajardo, Rojan Shrestha, Nelson Gil, Adam Belsom, Silvia N Crivelli, Cezary Czaplewski, Krzysztof Fidelis, Sergei Grudinin, Mikhail Karasikov, Agnieszka S Karczyńska, Andriy Kryshtafovych, Alexander Leitner, Adam Liwo, Emilia A Lubecka, Bohdan Monastyrskyy, Guillaume Pagès, Juri Rappsilber, Adam K Sieradzan, Celina Sikorska, Esben Trabjerg, Andras Fiser","Proteins: Structure, Function, and Bioinformatics","John Wiley & Sons, Inc.",2019,12,9.221052631578946,2019-12-01,13,9.989473684210525
13,A spatial mapping algorithm with applications in deep learning-based structure classification,"Thomas Corcoran, Rafael Zamora-Resendiz, Xinlian Liu, Silvia Crivelli",arXiv preprint arXiv:1802.02532,couldnt find,2018,12,3.8522427440633242,2018-02-07,13,4.173262972735268
15,An optimization approach to the problem of protein structure prediction,"Elizabeth Eskow, Brett Bader, Richard Byrd, Silvia Crivelli, Teresa Head-Gordon, Vincent Lamberti, Robert Schnabel",Mathematical programming,Springer-Verlag,2004,11,0.6744498572148496,2004-12-01,12,0.7357634805980178
17,Structural learning of proteins using graph convolutional neural networks,"Rafael Zamora-Resendiz, Silvia Crivelli",bioRxiv,Cold Spring Harbor Laboratory,2019,10,4.511742892459827,2019-01-01,11,4.9629171817058095
18,In situ data analytics and indexing of protein trajectories,"Travis Johnston, Boyu Zhang, Adam Liwo, Silvia Crivelli, Michela Taufer",Journal of computational chemistry,couldnt find,2017,10,2.656477438136827,2017-06-15,11,2.9221251819505096
19,Capsule networks for protein structure classification and prediction,"Dan Rosa de Jesus, Julian Cuevas, Wilson Rivera, Silvia Crivelli",arXiv preprint arXiv:1808.07475,couldnt find,2018,9,3.4909670563230604,2018-08-22,10,3.8788522848034
23,Evaluation of the scale-consistent UNRES force field in template-free prediction of protein structures in the CASP13 experiment,"Emilia A Lubecka, Agnieszka S Karczyńska, Agnieszka G Lipska, Adam K Sieradzan, Karolina Ziȩba, Celina Sikorska, Urszula Uciechowska, Sergey A Samsonov, Paweł Krupa, Magdalena A Mozolewska, Łukasz Golon, Artur Giełdoń, Cezary Czaplewski, Rafał Ślusarz, Magdalena Ślusarz, Silvia N Crivelli, Adam Liwo",Journal of Molecular Graphics and Modelling,Elsevier,2019,7,5.0594059405940595,2019-11-01,8,5.782178217821782
24,ProtoShop: interactive design of protein structures,"Oliver Kreylos, Nelson Max, Silvia Crivelli","Proceedings of CASP5-Fifth Meeting on the Critical Assessment of Techniques for Protein Structure Prediction, pages A213–A214, Pacific Grove, California",couldnt find,2002,7,0.3822561340514662,2002-12-01,8,0.43686415320167565
28,Creating a gateway that enables large‐scale science coopetition,"Silvia Crivelli, Rion Dooley, Raquell Holmes, Stephen Mock, WeFold Community",Concurrency and Computation: Practice and Experience,couldnt find,2015,2,0.3260384100044663,2015-02-01,3,0.4890576150066995
31,The cost of eigenvalue computation on distributed-memory MIMD multiprocessors,"S Crivelli, Elizabeth R.  Jessup",Parallel computing,North-Holland,1995,2,0.07671290458175704,1995-03-01,3,0.11506935687263556
33,Capsule Networks for Protein Structure Classification and Prediction,"Dan Rosa de Jesus, Julian Cuevas, Wilson Rivera, Silvia Crivelli",arXiv e-prints,couldnt find,2018,1,0.3794178794178794,2018-08-01,2,0.7588357588357588
34,Simplified Surface Models of Tubular Bacteria and Cytoskeleta,"Wenli Yang, Zhiyuan Zeng, N Max, M Auer, S Crivelli",JOURNAL OF INFORMATION &COMPUTATIONAL SCIENCE,couldnt find,2012,1,0.1135656502800249,2012-06-01,2,0.2271313005600498
37,An introduction to the PMESC parallel programming paradigm and library for task parallel computation,"S Crivelli, ER Jessup",Wuhan University Journal of Natural Sciences,Wuhan University,1996,1,0.04112676056338028,1996-12-01,2,0.08225352112676056
40,Determination of Protein Coarse-Grained Potentials by Machine Learning Approaches,"Eric Vazquez, Rachel Thomas, Rafael Zamora-Resendiz, Yu-Hang Tang, Masakatsu Watanabe, Silvia Crivelli",Biophysical Journal,Elsevier,2020,0,0.0,2020-02-07,1,0.8968058968058968
42,In-situ Data Analysis of Protein Folding Trajectories,"Travis Johnston, Boyu Zhang, Adam Liwo, Silvia Crivelli, Michela Taufer",arXiv preprint arXiv:1510.08789,couldnt find,2015,0,0.0,2015-10-29,1,0.18537328593194513
51,A physical approach to protein structure prediction: CASP4 results,"Silvia Crivelli, Elizabeth Eskow, Brett Bader, Vincent Lamberti, Richard Byrd, Robert Schnabel, Teresa Head-Gordon",Biophysical Journal,"Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States)",2001,0,0.0,2001-02-27,1,0.04982254982254982
55,Predicting RNA-binding sites of proteins using support vector machines and evolutionary information,"Cheng-Wei Cheng, Emily Chia-Yu Su, Jenn-Kang Hwang, Ting-Yi Sung, Wen-Lian Hsu",BMC bioinformatics,BioMed Central,2008,129,10.481967943009796,2008-12-01,130,10.563223508459483
56,MAGIC: An Automated N-Linked Glycoprotein Identification Tool Using a Y1-Ion Pattern Matching Algorithm and in Silico MS2 Approach,"Ke-Shiuan Lynn, Chen-Chun Chen, T Mamie Lih, Cheng-Wei Cheng, Wan-Chih Su, Chun-Hao Chang, Chia-Ying Cheng, Wen-Lian Hsu, Yu-Ju Chen, Ting-Yi Sung",Analytical chemistry,American Chemical Society,2015,52,8.538011695906434,2015-02-17,53,8.702204228520019
58,Hierarchical and programmable one-pot synthesis of oligosaccharides,"Cheng-Wei Cheng, Yixuan Zhou, Wen-Harn Pan, Supriya Dey, Chung-Yi Wu, Wen-Lian Hsu, Chi-Huey Wong",Nature communications,Nature Publishing Group,2018,26,11.365269461077846,2018-12-06,27,11.802395209580839
59,TMPad: an integrated structural database for helix-packing folds in transmembrane proteins,"Allan Lo, Cheng-Wei Cheng, Yi-Yuan Chiu, Ting-Yi Sung, Wen-Lian Hsu",Nucleic acids research,Oxford University Press,2011,22,2.1522380058965425,2011-01-01,23,2.250067006164567
60,MAGIC-web: a platform for untargeted and targeted N-linked glycoprotein identification,"T Mamie Lih, Wai-Kok Choong, Chen-Chun Chen, Cheng-Wei Cheng, Hsin-Nan Lin, Ching-Tai Chen, Hui-Yin Chang, Wen-Lian Hsu, Ting-Yi Sung",Nucleic acids research,Oxford University Press,2016,11,2.33974358974359,2016-07-08,12,2.5524475524475525
62,Lipid exposure prediction enhances the inference of rotational angles of transmembrane helices,"Jhih-Siang Lai, Cheng-Wei Cheng, Allan Lo, Ting-Yi Sung, Wen-Lian Hsu",BMC bioinformatics,BioMed Central,2013,9,1.2321830457614402,2013-12-01,10,1.369092273068267
63,Computational comparative study of tuberculosis proteomes using a model learned from signal peptide structures,"Jhih-Siang Lai, Cheng-Wei Cheng, Ting-Yi Sung, Wen-Lian Hsu",PloS one,Public Library of Science,2012,9,1.0055096418732783,2012-04-09,10,1.1172329354147537
65,Identification of existing pharmaceuticals and herbal medicines as inhibitors of SARS-CoV-2 infection,"Jia-Tsrong Jan, Ting-Jen Rachel Cheng, Yu-Pu Juang, Hsiu-Hua Ma, Ying-Ta Wu, Wen-Bin Yang, Cheng-Wei Cheng, Xiaorui Chen, Ting-Hung Chou, Jiun-Jie Shie, Wei-Chieh Cheng, Rong-Jie Chein, Shi-Shan Mao, Pi-Hui Liang, Che Ma, Shang-Cheng Hung, Chi-Huey Wong",Proceedings of the National Academy of Sciences,National Academy of Sciences,2021,2,15.869565217391303,2021-02-02,3,23.804347826086953
66,Multi-Q 2 software facilitates isobaric labeling quantitation analysis with improved accuracy and coverage,"Ching-Tai Chen, Jen-Hung Wang, Cheng-Wei Cheng, Wei-Che Hsu, Chu-Ling Ko, Wai-Kok Choong, Ting-Yi Sung",Scientific reports,Nature Publishing Group,2021,0,0.0,2021-01-26,1,6.886792452830189
67,Hierarchical and Programmable One-Pot Oligosaccharide Synthesis.,"Cheng-Wei Cheng, Yixuan Zhou, Wen-Harn Pan, Supriya Dey, Chung-Yi Wu, Wen-Lian Hsu, Chi-Huey Wong",Journal of visualized experiments: JoVE,couldnt find,2019,0,0.0,2019-09-06,1,0.6506238859180036
68,Changes in hippocampal morphology and neuroplasticity induced by adolescent THC treatment are associated with cognitive impairment in adulthood,"Tiziana Rubino, Natalia Realini, Daniela Braida, Sandra Guidi, Valeria Capurro, Daniela Viganò, Cinzia Guidali, Marta Pinter, Mariaelvina Sala, Renata Bartesaghi, Daniela Parolaro",Hippocampus,"Wiley Subscription Services, Inc., A Wiley Company",2009,255,21.90515415391857,2009-08-01,256,21.99105671922805
69,Cell cycle alteration and decreased cell proliferation in the hippocampal dentate gyrus and in the neocortical germinal matrix of fetuses with Down syndrome and in Ts65Dn mice,"Andrea Contestabile, Tatiana Fila, Claudio Ceccarelli, Paola Bonasoni, Laura Bonapace, Donatella Santini, Renata Bartesaghi, Elisabetta Ciani",Hippocampus,"Wiley Subscription Services, Inc., A Wiley Company",2007,241,17.663654618473895,2007-08-01,242,17.73694779116466
70,Neurogenesis impairment and increased cell death reduce total neuron number in the hippocampal region of fetuses with Down syndrome,"Sandra Guidi, Paola Bonasoni, Claudio Ceccarelli, Donatella Santini, Fabio Gualtieri, Elisabetta Ciani, Renata Bartesaghi",Brain Pathology,Blackwell Publishing Ltd,2008,240,18.49662162162162,2008-04-01,241,18.57369087837838
71,Early pharmacotherapy restores neurogenesis and cognitive performance in the Ts65Dn mouse model for Down syndrome,"Patrizia Bianchi, Elisabetta Ciani, Sandra Guidi, Stefania Trazzi, Daniela Felice, Gabriele Grossi, Mercedes Fernandez, Alessandro Giuliani, Laura Calza, Renata Bartesaghi",Journal of Neuroscience,[PDF] from jneurosci.org,2010,200,18.6414708886619,2010-06-30,201,18.73467824310521
72,Nitric oxide regulates cGMP‐dependent cAMP‐responsive element binding protein phosphorylation and Bcl‐2 expression in cerebellar neurons: implication for a survival role of …,"Elisabetta Ciani, Sandra Guidi, Renata Bartesaghi, Antonio Contestabile",Journal of neurochemistry,Blackwell Science Ltd,2002,160,8.619926199261993,2002-09-01,161,8.673800738007381
74,APP-dependent up-regulation of Ptch1 underlies proliferation impairment of neural precursors in Down syndrome,"Stefania Trazzi, Valentina Maria Mitrugno, Emanuele Valli, Claudia Fuchs, Simona Rizzi, Sandra Guidi, Giovanni Perini, Renata Bartesaghi, Elisabetta Ciani",Human molecular genetics,Oxford University Press,2011,116,11.673559415494898,2011-04-15,117,11.774193548387096
79,Nitric oxide negatively regulates proliferation and promotes neuronal differentiation through N-Myc downregulation,"Elisabetta Ciani, Sabina Severi, Andrea Contestabile, Renata Bartesaghi, Antonio Contestabile",Journal of cell science,[PDF] from biologists.org,2004,83,5.0240464344941955,2004-09-15,84,5.084577114427861
80,Loss of CDKL5 impairs survival and dendritic growth of newborn neurons by altering AKT/GSK-3β signaling,"Claudia Fuchs, Stefania Trazzi, Roberta Torricella, Rocchina Viggiano, Marianna De Franceschi, Elena Amendola, Cornelius Gross, Laura Calzà, Renata Bartesaghi, Elisabetta Ciani",Neurobiology of disease,Academic Press,2014,80,12.362404741744283,2014-10-01,81,12.516934801016088
81,Prenatal pharmacotherapy rescues brain development in a Down’s syndrome mouse model,"Sandra Guidi, Fiorenza Stagni, Patrizia Bianchi, Elisabetta Ciani, Andrea Giacomini, Marianna De Franceschi, Randal Moldrich, Nyoman Kurniawan, Karine Mardon, Alessandro Giuliani, Laura Calza, Renata Bartesaghi",Brain,Oxford University Press,2014,74,10.372503840245777,2014-02-01,75,10.51267281105991
82,"Cell cycle elongation impairs proliferation of cerebellar granule cell precursors in the Ts65Dn mouse, an animal model for Down syndrome","Andrea Contestabile, Tatiana Fila, Renata Bartesaghi, Elisabetta Ciani",Brain Pathology,Blackwell Publishing Ltd,2009,73,6.095859071150766,2009-04-01,74,6.179363989933654
83,"Choline acetyltransferase activity at different ages in brain of Ts65Dn mice, an animal model for Down's syndrome and related neurodegenerative diseases","Andrea Contestabile, Tatiana Fila, Renata Bartesaghi, Antonio Contestabile, Elisabetta Ciani",Journal of neurochemistry,Blackwell Publishing Ltd,2006,64,4.272910188403146,2006-04-01,65,4.339674410096945
84,CB1 cannabinoid receptors increase neuronal precursor proliferation through AKT/glycogen synthase kinase-3β/β-catenin signaling,"Stefania Trazzi, Martin Steger, Valentina Maria Mitrugno, Renata Bartesaghi, Elisabetta Ciani",Journal of Biological Chemistry,Elsevier,2010,62,5.640578265204386,2010-03-26,63,5.731555333998005
85,Input–output relations in the entorhinal cortex–dentate–hippocampal system: Evidence for a non-linear transfer of signals,"R Bartesaghi, M Migliore, T Gessi",Neuroscience,Pergamon,2006,62,4.281119939462732,2006-09-29,63,4.350170261066969
86,Postnatal neurogenesis in the dentate gyrus of the guinea pig,"Sandra Guidi, Elisabetta Ciani, Sabina Severi, Antonio Contestabile, Renata Bartesaghi",Hippocampus,"Wiley Subscription Services, Inc., A Wiley Company",2005,61,3.759709557581898,2005-01-01,62,3.821344140493077
87,Early Pharmacotherapy with Fluoxetine Rescues Dendritic Pathology in the Ts65Dn Mouse Model of D own Syndrome,"Sandra Guidi, Fiorenza Stagni, Patrizia Bianchi, Elisabetta Ciani, Elena Ragazzi, Stefania Trazzi, Gabriele Grossi, Chiara Mangano, Laura Calzà, Renata Bartesaghi",Brain Pathology,couldnt find,2013,58,7.198231893913635,2013-03-01,59,7.322339340360422
88,Short-and long-term effects of neonatal pharmacotherapy with epigallocatechin-3-gallate on hippocampal development in the Ts65Dn mouse model of Down syndrome,"Fiorenza Stagni, Andrea Giacomini, Marco Emili, Stefania Trazzi, Sandra Guidi, Martina Sassi, Elisabetta Ciani, Roberto Rimondini, Renata Bartesaghi",Neuroscience,Pergamon,2016,54,12.084610668301655,2016-10-01,55,12.308399754751685
89,Parallel activation of field CA2 and dentate gyrus by synaptically elicited perforant path volleys,"Renata Bartesaghi, Tiziana Gessi",Hippocampus,"Wiley Subscription Services, Inc., A Wiley Company",2004,54,3.1345419847328246,2004-01-01,55,3.1925890585241734
90,HDAC4: a key factor underlying brain developmental alterations in CDKL5 disorder,"Stefania Trazzi, Claudia Fuchs, Rocchina Viggiano, Marianna De Franceschi, Emanuele Valli, Paulina Jedynak, Finn K Hansen, Giovanni Perini, Roberto Rimondini, Thomas Kurz, Renata Bartesaghi, Elisabetta Ciani",Human molecular genetics,Oxford University Press,2016,53,11.745598057073467,2016-09-15,54,11.967213114754099
92,"Widespread impairment of cell proliferation in the neonate Ts65Dn mouse, a model for Down syndrome","A Contestabile, T Fila, A Cappellini, R Bartesaghi, E Ciani",Cell proliferation,Blackwell Publishing Ltd,2009,50,4.175245939144361,2009-04-01,51,4.2587508579272475
93,Long-term effects of neonatal treatment with fluoxetine on cognitive performance in Ts65Dn mice,"Fiorenza Stagni, Andrea Giacomini, Sandra Guidi, Elisabetta Ciani, Elena Ragazzi, Mirco Filonzi, Rosaria De Iasio, Roberto Rimondini, Renata Bartesaghi",Neurobiology of disease,Academic Press,2015,47,7.661902635104958,2015-02-01,48,7.824921840107192
94,Pharmacotherapy with fluoxetine restores functional connectivity from the dentate gyrus to field CA3 in the Ts65Dn mouse model of down syndrome,"Fiorenza Stagni, Jacopo Magistretti, Sandra Guidi, Elisabetta Ciani, Chiara Mangano, Laura Calzà, Renata Bartesaghi",PloS one,Public Library of Science,2013,46,5.80567081604426,2013-04-19,47,5.931881051175657
97,"Spatial reasoning with external visualizations: What matters is what you see, not whether you interact","Madeleine Keehner, Mary Hegarty, Cheryl Cohen, Peter Khooshabeh, Daniel R Montello",Cognitive science,Blackwell Publishing Ltd,2008,185,14.863526304204271,2008-10-11,186,14.943869689632402
98,The role of spatial cognition in medicine: Applications for selecting and training professionals,"Mary Hegarty, Madeleine Keehner, Cheryl Cohen, Daniel R Montello, Yvonne Lippa",Applied spatial cognition: From research to cognitive technology,Lawrence Erlbaum Associates,2007,155,10.896571648690294,2007-01-01,156,10.966872110939908
99,Individual differences in use of external visualisations to perform an internal visualisation task,"Cheryl A Cohen, Mary Hegarty",Applied Cognitive Psychology: The Official Journal of the Society for Applied Research in Memory and Cognition,"John Wiley & Sons, Ltd.",2007,132,9.735300060618306,2007-09-01,133,9.809052333804809
100,Inferring cross sections of 3D objects: A new spatial thinking test,"Cheryl A Cohen, Mary Hegarty",Learning and Individual Differences,JAI,2012,95,11.440118772682284,2012-12-01,96,11.560541075552624
101,Visualizing cross sections: Training spatial thinking using interactive animations and virtual objects,"Cheryl A Cohen, Mary Hegarty",Learning and Individual Differences,JAI,2014,74,11.006519967400164,2014-07-01,75,11.155256723716382
102,Sources of difficulty in imagining cross sections of 3D objects,"Cheryl A Cohen, Mary Hegarty",Proceedings of the Annual Meeting of the Cognitive Science Society,couldnt find,2007,57,4.007126348228043,2007-01-01,58,4.077426810477658
103,It works both ways: Transfer difficulties between manipulatives and written subtraction solutions,"David H Uttal, Meredith Amaya, Maria del Rosario Maita, Linda Liu Hand, Cheryl A Cohen, Katherine O’Doherty, Judy S DeLoache",Child Development Research,Hindawi,2013,30,3.6499999999999995,2013-01-01,31,3.771666666666666
104,Spatial thinking in astronomy education research,"Merryn Cole, Cheryl Cohen, Jennifer Wilhelm, Rebecca Lindell",Physical Review Physics Education Research,American Physical Society,2018,28,10.128840436075322,2018-06-15,29,10.490584737363728
105,Sense of direction: General factor saturation and associations with the Big-Five traits,"David M Condon, Joshua Wilt, Cheryl Ann Cohen, William Revelle, Mary Hegarty, David H Uttal",Personality and Individual Differences,Pergamon,2015,28,5.198372329603256,2015-11-01,29,5.384028484231943
106,Effects of interactivity and spatial ability on the comprehension of spatial relations in a 3D computer visualization,"Madeleine Keehner, Daniel R Montello, Mary Hegarty, Cheryl Cohen",Proceedings of the Annual Meeting of the Cognitive Science Society,couldnt find,2004,22,1.2770356234096694,2004-01-01,23,1.335082697201018
107,Spatial ability in the representation of cross sections,"Cheryl Ann Cohen, Mary Hegarty, Madeleine Kehner, Daniel R Montello",Proceedings of the Annual Meeting of the Cognitive Science Society,couldnt find,2003,20,1.0972493611904406,2003-01-01,21,1.1521118292499626
108,"A visual approach to helping instructors integrate, document, and refine active learning","Regina F Frey, Beth A Fisher, Erin D Solomon, Denise A Leonard, Jacinta M Mutambuki, Cheryl A Cohen, Jia Luo, Santhi Pondugula",Journal of College Science Teaching,National Science Teachers Association,2016,17,3.4781390134529144,2016-05-01,18,3.682735426008968
109,Spatial visualization training using interactive animation,"Cheryl A Cohen, Mary Hegarty","Conference on Research and Training in Spatial Intelligence. Sponsored by National Science Foundation, Evanston, IL",couldnt find,2008,15,1.1741368217885482,2008-06-13,16,1.2524126099077846
111,"How middle level science teachers visualize and translate motion, scale, and geometric space of the Earth-Moon-Sun system with their students","Jennifer Wilhelm, Merryn Cole, Cheryl Cohen, Rebecca Lindell",Physical Review Physics Education Research,American Physical Society,2018,12,4.340931615460852,2018-06-15,13,4.702675916749257
112,A mixed-methods investigation of clicker implementation styles in STEM,"Erin D Solomon, Michelle D Repice, Jacinta M Mutambuki, Denise A Leonard, Cheryl A Cohen, Jia Luo, Regina F Frey",CBE—Life Sciences Education,American Society for Cell Biology,2018,11,3.419931856899489,2018-01-01,12,3.7308347529812607
113,Cognitive factors and interactivity: Implications for the design and implementation of 3D computer visualizations for medical education,"Madeleine Keehner, Cheryl A Cohen, Mary Hegarty, Daniel R Montello","Poster presented at the Medicine Meets Virtual Reality, conference, Long Beach, CA",couldnt find,2004,7,0.4072362129423016,2004-01-15,8,0.46541281479120183
118,Visualizing Cross Sections: Training Spatial Thinking Using Interactive Animations,Cheryl Cohen,Proceedings of the Annual Meeting of the Cognitive Science Society,couldnt find,2011,0,0.0,2011-01-01,1,0.09782900026802466
119,Individual Differences in the Use of an External Visualization during an Internal Visualization Task,"Cheryl A Cohen, Mary Hegarty",Proceedings of the Annual Meeting of the Cognitive Science Society,couldnt find,2005,0,0.0,2005-01-01,1,0.06163458291117866
123,"Wide Operating Range, Continuous Input Current T-Impedance Boost Converter for PV Application","Vishal Verma, Aditya Narula",IEEE Transactions on Industry Applications,IEEE,2019,2,1.2331081081081081,2019-08-06,3,1.849662162162162
129,Scnn: An accelerator for compressed-sparse convolutional neural networks,"Angshuman Parashar, Minsoo Rhu, Anurag Mukkara, Antonio Puglielli, Rangharajan Venkatesan, Brucek Khailany, Joel Emer, Stephen W Keckler, William J Dally",ACM SIGARCH Computer Architecture News,ACM,2017,605,161.7765567765568,2017-06-24,606,162.04395604395606
131,Triggered instructions: A control paradigm for spatially-programmed architectures,"Angshuman Parashar, Michael Pellauer, Michael Adler, Bushra Ahsan, Neal Crago, Daniel Lustig, Vladimir Pavlov, Antonia Zhai, Mohit Gambhir, Aamer Jaleel, Randy Allmon, Rachid Rayess, Stephen Maresh, Joel Emer",ACM SIGARCH Computer Architecture News,ACM,2013,110,14.202334630350196,2013-06-23,111,14.331446763353378
